Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
190,Permit,CHEMTRADE PULP CHEMICALS LIMITED PARTNERSHIP ,7/7/1967,,Effluent,Active,325100  Manufacturing - Chemical,  ,L,,Schedule 1,Chemical and Chemical Products Industry,"Brunn, Lisa",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,Chlorate plant  ,PRINCE GEORGE,Brandon Marchand,(250) 565-8726,sdouglas@chemtradelogistics.com,53.9325,122.4128,PRINCE GEORGE,"BOX 2390 2711 PULPMILL ROAD PRINCE GEORGE, BC V2N 2S6"
192,Permit,VILLAGE OF FRASER LAKE ,7/12/1967,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Markin, Jane",Prince George,Northern,Bulkley-Nechako,Authorizations - North Region,Fraser Lake,n/a  ,FRASER LAKE LAGOONS,Vern Hilman,(250) 699-1265,vhilman@fraserlake.ca,54.056,124.861,"Plan 4746, District Lot 617, Range 5, Coast Land District, British Columbia","BOX 430 FRASER LAKE, BC V0J 1S0"
193,Permit,SCHOOL DISTRICT 57 PRINCE GEORGE ,8/15/1967,,Effluent,Cancelled,611000  Administration - Educational,562910  Waste Treatment - Remediation,L,,N/A,,"Black, Brenda",Prince George,Northern,,Authorizations - North Region,Prince George,n/a  ,PINEVIEW SCHOOL,Unknown,() -,,53.849,122.657,PINEVIEW SCHOOL,"2100 FERRY AVE PRINCE GEORGE, BC V2L 4R5"
197,Permit,THE CORPORATION OF THE VILLAGE OF CUMBERLAND ,8/25/1967,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Mamoser, Melanie",Nanaimo,Southern Interior,Comox Valley,Authorizations - South Region,Cumberland,Municipal Wastewater Treatment System  Aerated lagoon municipal wastewater treatment facility.,"2934 Ulverston  Avenue, Cumberland BC  V0R1S0",Rob Crisfield,(250) 336-2291,RCrisfield@cumberland.ca,49.625228,125.013114,Lot C Section 25 VIP65968,"BOX 340 CUMBERLAND, BC V0R 1S0"
201,Permit,HUSKY OIL OPERATIONS LTD. ,9/21/1967,,Effluent,Cancelled,324110  Oil & Gas - Petroleum Refineries,  ,L,,N/A,,"Godon, Ann",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,unknown  ,PRINCE GEORGE,Unknown,() -,,53.9269444,122.4155,PRINCE GEORGE,"PO BOX 4490 STATION D CALGARY, AB T2P 3G7"
203,Permit,"ENDERBY, CITY OF ",10/4/1967,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Lasuik, Jason",Penticton,Southern Interior,North Okanagan,Authorizations - South Region,Enderby,domestic wastewater treatment plant  ,"City of Enderby, PO BOX 400, Enderby BC  V0E 1V0",Ida Arcand,(250) 838-9638,enderbywwtp.telus.net,50.56266,119.13761,"the north half of Lot A, DD E10426F O.D.Y.D.","BOX 400 ENDERBY, BC V0E 1V0"
211,Permit,GLENCORE CANADA CORPORATION ,1/17/1968,,Effluent,Active,212200  Mining - Metal,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Oldfield, Devan",Penticton,Mining Operations,Central Okanagan ,Authorizations - South Region,Penticton,WASTE DISPOSAL OPERATIONS  WASTE DISPOSAL OPERATIONS,"Lot 5155. Osoyoos Division of Yale District (approximately 27 Kilometers northwest of Peachland, BC)",Guilleminot Georges ,(250) 317-0187,Georges.Guilleminot@glencore-ca.com,49.842,119.835,Lot 5155. Osoyoos Division of Yale District,"Suite 718, 22 - 2475 Dobbin Rd, Westbank BC V4T 2E9"
212,Permit,"MINISTRY OF TECHNOLOGY, INNOVATION AND CITIZEN'S SERVICES ",1/26/1968,,Effluent,Active,912000  Administration - Provincial & Territorial,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Markin, Jane",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,n/a  ,HUDTA LAKE CORRECTION CENTRE,Jody Brown (WSI),(250) 961-8568,jody.brown@wsi.brookfieldgis.com ,53.6519,122.9807,"Lot 5546, Cariboo Land District, British Columbia","PO BOX 912 Stn PRov Govt, Victoria BC  V8W 9V1"
218,Permit,405834 B.C. LTD. ,3/18/1968,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Langley,Mobile Home Park  mobile home park,"3931 198 Street, Langley, BC  V3A 1C9",Bob Carmen,(604) 539-2321,coachchief@hotmail.com,49.073887,122.676591,"Lot 131, Northeast 1/4 Section 27, Township 7 East of Coast Meridian, New Westminster District, plan 41089","Unit 6-3931 198 Street, Langley BC  V3A 1C9"
220,Permit,CAPITAL REGIONAL DISTRICT ,3/20/1968,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Watewater Treatment Facility  ,PENDER ISLAND,Matthew McCrank,(250) 474-9617,'mmccrank@crd.bc.ca',48.7561,123.2853,PENDER ISLAND,"BOX 1000 524 YATES ST VICTORIA, BC V8W 2S6"
224,Permit,TECK METALS LTD. ,4/2/1968,,Effluent,Active,212200  Mining - Metal,  ,L,,Schedule 1,Mining and Coal Mining Industry,"Berkes, Leslie",Prince George,Mining Operations,Bulkley-Nechako,Authorizations - North Region,Fort St. James,Inactive mercury mine and post closure monitoring of water discharge to Pinchi Lake  Inactive mercury mine and post closure monitoring of water discharge to Pinchi Lake,"27539 Pinchi Lake Rd, Pinchi Lake BC",Michelle Unger,(250) 427-8422,michelle.unger@teck.com,54.616,124.43,"District Lots 5211, 5212, 5213, 5214, 5215, 5218, 5219, 5220, 5221, 5224, 5225, 5227, 5228, 5230, 5231, 5232, 7464, 7463, and 7462, all Range 5, Coast District.","Bag 2000, Kimberley BC  V1A 3E1"
225,Permit,GRAPPA INVESTMENTS CORPORATION ,4/4/1968,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Downie, A.J.",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Langley,"Mobile Home Park  65 mobile homes and a recreation hall, called ""Cedar Creek Estates""._x000D_
Street Address: 3031 200 St, Langley, BC",LANGLEY,Unknown,() -,,49.057259,122.672557,LANGLEY,"102 - 6976 RUSSELL AVENUE BURNABY, BC V5J 4R9"
233,Operational Certificate,GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT ,6/24/1968,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Hamelin, Trevor",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Municipal Wastewater treatment plant  ,"RICHMOND, 13500 GILBERT ROAD, LULU STP",Theresa Gregonia,(604) 523-7168,Theresa.Gregonia@metrovancouver.org,49.11488,123.145119,"RICHMOND, 13500 GILBERT ROAD, LULU STP","FINANCE DEPARTMENT 4TH FL, 4330 KINGSWAY BURNABY, BC V5H 4G8"
237,Permit,OAK BAY MARINA (1992) LTD. ,6/28/1968,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Nanaimo,Southern Interior,,Authorizations - South Region,Metchosin,Marina and RV park  marina and trailer park with secondary sewage treatment system,"1327  Beach Drive , Victoria BC  V8S 2N4",Unknown,() -,,48.3374,123.551,"Lot 1, Section 40 and Lots 3 and 131, Metchosin District, Plan 26704.","1327 BEACH DRIVE VICTORIA, BC V8S 2N4"
239,Permit,DISTRICT OF FORT ST. JAMES ,7/19/1968,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Bailey, Neil",Prince George,Northern,Bulkley-Nechako,Authorizations - North Region,Fort St. James,Sewage Treatment Lagoon Facility   Sewage Treatment Lagoon Facility for the treatment of domestic sewage from the community of Fort St. James and the Nak'azdli Band.,"Land within Nak'azdli  Indian Reserve No.1, FORT ST. JAMES STP",Not provided,() -,,54.4267,124.2508,"Land within Nak'azdli  Indian Reserve No.1, FORT ST. JAMES STP","477 Stuart Drive W, PO BOX 640 , Fort St. James BC  V0J 1P0"
240,Permit,SKOOKUMCHUCK PULP INC. ,8/12/1968,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,H,High,Schedule 1,Pulp Industry,"McKechnie, Nicole",Cranbrook,Southern Interior,East Kootenay ,Authorizations - South Region,Cranbrook,Bleached Kraft Pulp Mill  Bleached Kraft Pulp Mill,"4501 Farstad Way, Skookumchuck BC  V0B 2E0","Brandy Craig, Environmental Supervisor",(250) 422-4007,BCraig@skkpulp.com,49.9169,115.7647,"Lot 6021, Plan 17885, Skookumchuck","PO Box 4000, Cranbrook, BC, V1C 7H7"
242,Municipal Wastewater Regulation,CAPITAL REGIONAL DISTRICT ,11/24/2004,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,N. SALTSPRING ISLAND,Cam Preece,9617,cpreece@crd.bc.ca,48.9122,123.5206,N. SALTSPRING ISLAND,"BOX 1000 524 YATES ST VICTORIA, BC V8W 2S6"
247,Permit,TOWN OF LAKE COWICHAN ,9/18/1968,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Cavadini, Roger",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Lake Cowichan,Lagoon municipal sewage system  ,LAKE COWICHAN,Nagi Rizk,(250) 749-6244,nagi.rizk@lakecowichan.ca,48.8255,124.027,LAKE COWICHAN,"P.O. Box 860, Lake Cowichan BC  V0R 2G0"
250,Permit,QUEEN VICTORIA HOSPITAL ,9/26/1968,,Effluent,Cancelled,"913000  Administration - Local, Municipal, Regional",  ,L,,N/A,,"D`Souza, Roshan",Nelson,Southern Interior,Columbia Shuswap ,Authorizations - South Region,Nelson,Hospital s.t.p.  ,REVELSTOKE,Unknown,() -,,51,118.15,REVELSTOKE,"Bag 5000, 1200 Newlands Rd, Revelstoke BC  V0E 2S0"
253,Permit,DISTRICT OF SPARWOOD ,12/13/1968,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Cranbrook,Southern Interior,East Kootenay ,Authorizations - South Region,Nelson,"secondary treatment   screening equipment, an oxidation ditch, clarifier, RAS, chlorination shed, UV disinfection, centrifuge, and outfall to river.",Sparwood,Mel Bohmer,(250) 425-7760,mbohmer@sparwood.bc.ca,49.7261,114.8952,"within parcel identifier: 005-552-320, Lot 239, District Lot 4589, Kootenay District Plan 6786 except part included in Plans 7003, 7314, 8431, 9018, 9176, 9741, 13771, 14652, 15328, 15724, 17278, 17573, and NEP19214 within BCGS 82-G076.","PO BOX 520 136 SPRUCE AVENUE SPARWOOD, BC V0B 2G0"
254,Permit,CHEMTRADE WEST GP INC. CHEMTRADE WEST LIMITED PARTNERSHIP,12/23/1968,,Effluent,Active,325100  Manufacturing - Chemical,  ,L,,Schedule 1,Chemical and Chemical Products Industry,"Bailey, Neil",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,"sulphuric acid, liquid sulphur dioxide and aluminium sulfate plant  sulphuric acid, liquid sulphur dioxide and aluminium sulfate plant","604 Boundary Road, Prince George BC  V2N 5S6",Jack Patrick,(250) 561-8925,jpatrick@chemtradelogistics.com,53.8442,122.7335,"BC Railway Lease 1137 and 1266, Lot A, Plan 16570, DL 749_x000D_
Cariboo Land District_x000D_
","604 Boundary Road, Prince George, BC  V2N 5S6"
255,Municipal Wastewater Regulation,"WILLIAMS LAKE, CITY OF ",1/31/2002,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Reeves, Michelle",Williams Lake,Northern,Cariboo,Authorizations - North Region,Williams Lake,  ,WILLIAMS LAKE CREEK VALLEY,Unknown,,,52.1481,122.1827,WILLIAMS LAKE CREEK VALLEY,"450 MART ST WILLIAMS LAKE, BC V2G 1N3"
256,Permit,"KITIMAT, DISTRICT OF ",1/8/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Reeves, Michelle",Smithers,Northern,Kitimat-Stikine ,Authorizations - North Region,Kitimat,Sewage Treatment Plant  ,"853 Dyke Road , Kitimat BC  V8C 1H7",Unknown,() -,,54.0227,128.4028,"Block 600, Plan 6034, District Lots 6017,6018,6019 and 6020, Range 5, Coast District","270 CITY CENTRE KITIMAT, BC V8C 2H7"
261,Permit,COPPER MOUNTAIN MINE (BC) LTD. ,1/31/1969,6/30/3999,Effluent,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Oldfield, Devan",Penticton,Mining Operations,Okanagan-Similkameen ,Authorizations - South Region,Princeton,Copper Mining and milling Facility  Copper Mining and milling facility:  Mine Tailings Impoundment under reclamation,"Similco Mine:  Approximately 20 km south of Princeton, B.C. on Copper Mountain Road",Don Strickland,(250) 295-4735,don.strickland@cumtnop.com,49.34679,120.50909,"Copper Mountain Mine - Concentrator Building & Sewage Treatment Plant_x000D_
The site covers numerous land tenures.  The Concentrator facility, a central location on the site, is situated on DL 3566, 3567 and L366 S.","Box 1400, Princeton BC , V0X 1W0"
263,Permit,GLENCORE CANADA CORPORATION ,2/20/1969,,Effluent,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Oldfield, Devan",Kamloops,Mining Operations,Central Okanagan ,Authorizations - South Region,West Kelowna,Waste Water Treatment Plant: Copper- Molybdenum Mine  Waste Water Treatment Plant: Closed and reclaimed metal mine with effluent treatment and sludge discharge,37 km west of West Kelowna on Highway 97C,Dallas Rodier,(250) 317-0187,Dallas.Rodier@glencore-ca.com,49.86888,119.9385,"The location of the facilities from which the discharge originates is DL 5159, Osoyoos_x000D_
Division Yale District and comprising mineral leases 319, 320, 323, 324, 325, 326 and_x000D_
327.","Suite 718 - 22 - 2475 Dobbin Rd, West Kelowna BC  V4T 2E9"
264,Permit,VILLAGE OF CACHE CREEK ,3/3/1969,,Effluent,Cancelled,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Cache Creek,n/a  ,CACHE CREEK,Unknown,() -,,50.8001,121.3213,CACHE CREEK,"BOX 7 CACHE CREEK, BC V0K 1H0"
265,Permit,REGIONAL DISTRICT OF MOUNT WADDINGTON ,3/5/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Nanaimo,Southern Interior,,Authorizations - South Region,Sayward,Camp  ,WOSS CAMP,Unknown,() -,,50.217169,126.610461,WOSS CAMP,"BOX 729 PORT MCNEILL, BC V0N 2R0"
266,Permit,"CATALYST PAPER CORPORATION AND CATALYST PULP OPERATIONS LIMITED CATALYST PAPER, GENERAL PARTNERSHIP",4/8/1969,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,H,,Schedule 1,Pulp Industry,"McKechnie, Nicole",Nanaimo,Southern Interior,Alberni-Clayoquot ,Authorizations - South Region,Nanaimo,Pulp and Paper Mill  ,"4000 Stamp ave, Port Alberni",Larry Cross,(250) 724-7889,larry.cross@catalystpaper.com,49.2478,124.811,"Lot A, District Lot 1, Alberni Land District and part of the bed of the Public Harbour of Alberni, Plan VIP69746","PO Box 70, Crofton, BC, V0R 1R0, Attn: Port Alberni Accts Payable"
267,Permit,OKANAGAN BIOFUELS INC ,4/18/1969,,Effluent,Cancelled,325100  Manufacturing - Chemical,  ,L,,N/A,,"Huggins, Geri",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Penticton,N/A  ,"8999 Jim Bailey  Road, Kelowna BC  V4V 1S4",Alexander Kopp,(250) 766-5687,,50.0114,119.3853,"A part of Section 2, Township 20, Osoyoos Division, Yale District","8999 JIM BAILEY RD KELOWNA, BC V4V 1S4"
268,Permit,OKANAGAN BIOFUELS INC ,4/18/1969,,Effluent,Cancelled,325100  Manufacturing - Chemical,  ,L,,N/A,,"Huggins, Geri",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Penticton,N/A  ,"8999 Jim Bailey Road, Kelowna BC  V4V 1S4",Alexander Kopp,(250) 766-5687,akopp@nexumenergy.com,50.0097,119.39,"part of Section 2, Township 20, Osoyoos Division, Yale District","8999 JIM BAILEY RD KELOWNA, BC V4V 1S4"
270,Permit,CAPITAL REGIONAL DISTRICT ,4/28/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Mamoser, Melanie",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Municipal Sewerage System  ,VICTORIA-MACAULAY POINT,Cam Preece,(250) 474-9617,cpreece@crd.bc.ca,48.4006,123.4089,"30 View Point Street, Victoria BC","BOX 1000 524 YATES ST VICTORIA, BC V8W 2S6"
274,Permit,REGIONAL DISTRICT OF KOOTENAY BOUNDARY ,5/16/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Beckett, Matthew",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Trail,municipal sewage system  ,"8020 BC - 3B Highway, Trail BC  V1R 4N7",Goran Denkovski,(250) 231-0957,gdenkovski@rdkb.com,49.0917,117.6375,"Lot 1, District Lot 4598, Plan 12996, Kootenay District","202 - 843 ROSSLAND AVENUE TRAIL, BC V1R 4S8"
280,Permit,THE CORPORATION OF THE CITY OF GRAND FORKS ,6/13/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Little, Stephanie",Nelson,Southern Interior,,Authorizations - South Region,Grand Forks,n/a  ,"165 Industrial Way, Grand Forks BC  V0H 1H0",Dean Chapman,(250) 442-7898,dchapman@grandforks.ca,49.023,118.4292,"Lot D, Plan 17928, District Lot 534, Similkameen Division Yale District","BOX 220 GRAND FORKS, BC V0H 1H0"
281,Permit,WESTERN FOREST PRODUCTS INC. ,6/16/1969,,Effluent,Active,113311  Forest Sector - Logging,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Logging Camp and Residential Area  ,HOLBERG,Unknown,() -,,50.652536,128.01414,HOLBERG,"435 TRUCK ROAD DUNCAN, BC V9L 2P9"
287,Permit,DISTRICT OF HOUSTON ,7/30/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Markin, Jane",Smithers,Northern,Bulkley-Nechako,Authorizations - North Region,Houston,"Sewage Treatment System  Sewage collection system, two aerated lagoons, alum addition system, polishing lagoon, chlorination & dechlorination facilities","District Lot 339 Range 5, Coast District. Adjacent to Bulkley River, Houston BC",Unknown,() -,office.assistant@houston.ca,54.3936,126.6725,"District Lot 339 Range 5, Coast District","BOX 370 HOUSTON, BC V0J 1Z0"
288,Permit,REGIONAL DISTRICT OF BULKLEY-NECHAKO ,7/31/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Markin, Jane",Prince George,Northern,,Authorizations - North Region,Prince George,n/a  ,FORT FRASER SEWAGE LAGOONS,Janette Derksen,(250) 692-3195,Janette.Derksen@rdbn.bc.ca,54.063511,124.5664,FORT FRASER SEWAGE LAGOONS,"492 ALASKA DRIVE BOX 820 BURNS LAKE, BC V0J 1E0"
291,Permit,THE CORPORATION OF THE CITY OF NELSON ,7/31/1969,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,n/a  ,NELSON,Unknown,() -,,49.4945,117.3395,NELSON,"SUITE 101, 310 WARD STREET NELSON, BC V1L 5S4"
292,Permit,CHEVRON CANADA LIMITED ,8/8/1969,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,M,,Schedule 1,Oil and Natural Gas Industry - Large,"Hill, Breanne",Prince George,Oil & Gas/LNG Operations,Kitimat-Stikine ,Authorizations - North Region,Kitimat,Closed Pulp and Paper Mill  Closed unbleached pulp and paper mill with treatment lagoons treating landfill leachate and site runoff.,"1 Eurocan Way, Kitimat  BC  V8C 2H1",unknown,() -,,54.03568,128.688254,"District Lots 6053, 6054, Plan 5744, and the remainder of Lot 86, District of Kitimat, Range 5, Coast District","500 - Fifth Ave SW, Calgary AB  T2P 0L7"
